gh_id,paper_doi,reuse_type,comment,citation_number,reused_doi,alt_url,page_num
kunwarvidhan,https://doi.org/10.1145/3368089.3409675,method,grounded theory,[40],https://doi.org/10.1145/2884781.2884833,,339
kunwarvidhan,https://doi.org/10.1145/3368089.3409675,method,card-sorting approach,[10],https://doi.org/10.1145/2559206.2567812,,340
kunwarvidhan,https://doi.org/10.1145/3368089.3409675,stepping stones,Questions from previous study,[5],https://doi.org/10.1145/2791060.2791108,,340
kunwarvidhan,https://doi.org/10.1145/3368089.3409675,stepping stones,Maintenance effort study,[33],https://doi.org/10.1109/ICSE.2017.31,,343
kunwarvidhan,https://doi.org/10.1145/3368089.3409675,method,software configuration engineering process,[34],https://doi.org/10.1109/TSE.2018.2867847,,344
kunwarvidhan,https://doi.org/10.1145/3368089.3409742,replication,reproduce the work by Offutt,[63],,http://cse.unl.edu/~grother/papers/tosem96apr.pdf,1128
kunwarvidhan,https://doi.org/10.1145/3368089.3409742,tool,PIT v1.2.0,[10],https://doi.org/10.1145/2931037.2948707,,1131
kunwarvidhan,https://doi.org/10.1145/3368089.3409742,statistical,Spearman’s 𝜌 threshold of ±0.7,[27],https://doi.org/10.1016/j.infsof.2017.03.002,,1131
kunwarvidhan,https://doi.org/10.1145/3368089.3409742,statistical,coefficient test,[81],https://doi.org/10.2307/1412159,,1131
kunwarvidhan,https://doi.org/10.1145/3368089.3409742,tool,EvoSuite,[28],https://doi.org/10.1109/QSIC.2011.19,,1134
kunwarvidhan,https://doi.org/10.1145/3368089.3409742,dataset,previous values used for study,[75],https://doi.org/10.1016/j.jss.2019.07.100,,1132
kunwarvidhan,https://doi.org/10.1145/3368089.3409695,replication,Study by Bavota,[8],https://doi.org/10.1109/SCAM.2012.20,,557
kunwarvidhan,https://doi.org/10.1145/3368089.3409695,tool,RMiner,[47],https://doi.org/10.1145/3180155.3180206,,558
kunwarvidhan,https://doi.org/10.1145/3368089.3409695,tool,Perceval tool,[4],,https://github.com/chaoss/grimoirelab-perceval,559
kunwarvidhan,https://doi.org/10.1145/3368089.3409695,method,regular expression-based approach,[25],,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.88.22&rep=rep1&type=pdf,559
kunwarvidhan,https://doi.org/10.1145/3368089.3409695,tool,SZZ Unleashed,[13],https://doi.org/10.1145/3340482.3342742,,559
kunwarvidhan,https://doi.org/10.1145/3368089.3409695,statistical,Fisher’s exact test,[26],https://doi.org/10.2307/2340521,,559
kunwarvidhan,https://doi.org/10.1145/3368089.3409695,statistical,Wilcoxon rank-sum test,[51],https://doi.org/10.2307/3001968,,560
kunwarvidhan,https://doi.org/10.1145/3368089.3409695,statistical,Kruskal-Wallis test,[34],https://doi.org/10.2307/2280779,,560
kunwarvidhan,https://doi.org/10.1145/3368089.3409695,statistical,Dunn post hoc analysis,[22],https://doi.org/10.2307/2282330,,560
kunwarvidhan,https://doi.org/10.1145/3368089.3409695,statistical,Cliff’s delta effect size,[28],https://doi.org/10.4324/9781410612915,,560
kunwarvidhan,https://doi.org/10.1145/3368089.3409717,method,microsoft study,[7],https://doi.org/10.1145/2568225.2568233,,568
kunwarvidhan,https://doi.org/10.1145/3368089.3409717,method,opinion surveys,[44],https://doi.org/10.1007/978-1-84800-044-5_3,,571